"method","setting","regime","rep","hits","fp"
"wbs","default","ar1",2,2,10
"wbs","default","ar1",3,2,12
"wbs","default","ar1",4,2,4
"wbs","default","ar1",5,2,12
"wbs","default","ar1",6,2,10
"wbs","default","ar1",7,2,12
"wbs","default","ar1",8,2,7
"wbs","default","ar1",9,1,19
"wbs","default","ar1",10,2,17
"wbs","default","hetero",1,2,4
"wbs","default","hetero",2,2,0
"wbs","default","hetero",3,2,8
"wbs","default","hetero",4,2,9
"wbs","default","hetero",5,2,0
"wbs","default","hetero",6,2,4
"wbs","default","hetero",7,2,0
"wbs","default","hetero",8,2,3
"wbs","default","hetero",9,2,11
"wbs","default","hetero",10,2,3
"wbs2","default","iid",1,2,0
"wbs2","default","iid",2,2,0
"wbs2","default","iid",3,2,0
"wbs2","default","iid",4,2,0
"wbs2","default","iid",5,2,0
"wbs2","default","iid",6,2,1
"wbs2","default","iid",7,2,1
"wbs2","default","iid",8,2,0
"wbs2","default","iid",9,2,0
"wbs2","default","iid",10,2,1
"wbs2","default","heavy",1,2,6
"wbs2","default","heavy",2,2,8
"wbs2","default","heavy",3,2,24
"wbs2","default","heavy",4,2,16
"wbs2","default","heavy",5,2,8
"wbs2","default","heavy",6,2,6
"wbs2","default","heavy",7,2,11
"wbs2","default","heavy",8,2,21
"wbs2","default","heavy",9,2,13
"wbs2","default","heavy",10,2,5
"wbs2","default","ar1",1,2,27
"wbs2","default","ar1",2,2,29
"wbs2","default","ar1",3,2,26
"wbs2","default","ar1",4,2,75
"wbs2","default","ar1",5,2,26
"wbs2","default","ar1",6,2,20
"wbs2","default","ar1",7,2,42
"wbs2","default","ar1",8,2,65
"wbs2","default","ar1",9,1,21
"wbs2","default","ar1",10,2,34
"wbs2","default","hetero",1,2,45
"wbs2","default","hetero",2,2,44
"wbs2","default","hetero",3,2,20
"wbs2","default","hetero",4,2,20
"wbs2","default","hetero",5,2,58
"wbs2","default","hetero",6,2,28
"wbs2","default","hetero",7,2,21
"wbs2","default","hetero",8,2,23
"wbs2","default","hetero",9,2,31
"wbs2","default","hetero",10,2,49
"not","default","iid",1,2,1
"not","default","iid",2,2,0
"not","default","iid",3,2,0
"not","default","iid",4,2,0
"not","default","iid",5,2,0
"not","default","iid",6,2,0
"not","default","iid",7,2,0
"not","default","iid",8,2,0
"not","default","iid",9,2,0
"not","default","iid",10,2,2
"not","default","heavy",1,2,0
"not","default","heavy",2,2,0
"not","default","heavy",3,2,0
"not","default","heavy",4,2,0
"not","default","heavy",5,2,0
"not","default","heavy",6,2,0
"not","default","heavy",7,2,0
"not","default","heavy",8,2,0
"not","default","heavy",9,2,0
"not","default","heavy",10,2,0
"not","default","ar1",1,2,6
"not","default","ar1",2,2,15
"not","default","ar1",3,2,8
"not","default","ar1",4,2,14
"not","default","ar1",5,2,10
"not","default","ar1",6,2,11
"not","default","ar1",7,2,6
"not","default","ar1",8,2,7
